id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
219,6,20,0,A,1,2,2,5,5,2,2,3,4,4,1,4,2,4,3,5,4,healthy,0,0,0,0,0,long,1
220,7,21,0,A,1,1,2,2,2,3,1,3,3,2,3,2,2,3,3,1,2,healthy,1,1,1,1,1,square,0
220,8,21,0,A,1,2,4,4,4,3,3,3,3,9,3,3,4,3,4,4,3,healthy,0,0,1,0,0,square,0
220,9,21,0,A,1,1,3,2,2,3,3,3,3,5,4,4,3,3,3,3,2,black,1,0,0,1,1,square,1
220,10,21,0,A,1,2,4,3,3,3,3,3,3,5,4,3,4,3,4,4,4,fair,0,0,1,0,0,round,1
220,11,21,0,A,1,2,4,4,4,4,3,3,3,5,4,3,4,3,3,3,3,healthy,0,0,1,0,1,round,1
220,12,21,0,A,1,1,3,2,2,2,4,3,4,5,3,3,4,3,3,3,4,fair,0,0,1,0,0,long,0
221,1,22,1,6,3,3,4,4,4,4,3,3,3,7,4,3,4,4,4,4,2,black,0,0,1,0,0,long,1
221,2,22,1,6,3,3,4,4,3,3,4,4,4,7,3,3,4,3,3,4,4,healthy,0,1,0,1,0,square,0
221,3,22,1,6,3,3,4,3,4,3,4,5,4,7,4,4,3,3,3,4,4,healthy,0,0,0,0,0,square,0
221,4,22,1,6,3,3,4,3,3,3,4,4,4,7,4,3,4,4,3,4,3,fair,0,1,1,0,0,long,0
221,5,22,1,6,3,3,4,3,3,3,4,4,4,8,4,3,4,4,4,4,4,fair,0,0,1,0,0,round,1
221,6,22,1,6,3,3,3,3,3,3,4,3,3,6,4,3,3,4,3,4,3,healthy,0,0,0,0,0,long,1
222,1,21,1,7,1,2,2,2,3,2,3,5,5,7,5,5,5,4,5,4,1,black,0,0,1,0,0,long,1
222,2,21,1,7,1,1,3,4,5,3,4,5,5,4,3,3,2,3,2,3,2,healthy,0,1,0,1,0,square,0
222,3,21,1,7,1,4,5,4,3,5,5,4,4,10,5,5,5,5,5,5,5,healthy,0,0,0,0,0,square,0
222,4,21,1,7,1,2,4,1,2,4,5,3,3,5,2,2,3,2,2,5,4,fair,0,1,1,0,0,long,0
222,5,21,1,7,1,2,3,3,3,2,4,5,5,6,3,2,4,2,3,3,4,fair,0,0,1,0,0,round,1
222,6,21,1,7,1,2,4,4,4,3,3,3,3,5,3,3,2,3,2,3,2,healthy,0,0,0,0,0,long,1
223,7,20,0,7,1,2,4,4,3,4,4,4,3,5,4,3,3,2,3,2,4,healthy,1,1,1,1,1,square,0
223,8,20,0,7,1,3,4,5,5,4,3,3,4,8,4,3,5,4,4,4,4,healthy,0,0,1,0,0,square,0
223,9,20,0,7,1,1,2,3,4,2,3,3,2,6,3,4,4,3,3,3,3,black,1,0,0,1,1,square,1
223,10,20,0,7,1,3,4,5,4,5,3,4,4,8,4,3,5,4,4,4,4,fair,0,0,1,0,0,round,1
223,11,20,0,7,1,3,5,5,3,5,3,3,3,5,3,3,3,3,3,4,3,healthy,0,0,1,0,1,round,1
223,12,20,0,7,1,3,4,4,3,3,4,4,3,7,4,4,5,4,4,4,4,fair,0,0,1,0,0,long,0
224,1,23,0,5,1,2,2,2,4,2,2,3,3,4,4,3,4,3,3,3,1,black,0,0,1,0,0,long,1
224,2,23,0,5,1,1,2,4,4,2,4,4,4,2,3,2,3,2,2,4,2,healthy,0,1,0,1,0,square,0
224,3,23,0,5,1,3,3,3,4,3,4,4,4,5,3,4,4,3,3,4,3,healthy,0,0,0,0,0,square,0
