id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
247,5,22,1,A,1,2,4,2,4,2,3,4,4,7,4,3,4,4,4,4,4,fair,0,0,1,0,0,round,1
247,6,22,1,A,1,2,4,5,5,4,3,3,3,7,4,3,5,4,4,4,3,healthy,0,0,0,0,0,long,1
248,1,20,1,A,1,2,2,3,4,3,1,1,1,4,3,3,4,4,4,4,1,black,0,0,1,0,0,long,1
248,2,20,1,A,1,1,2,4,4,3,1,1,1,2,2,2,2,3,1,2,4,healthy,0,1,0,1,0,square,0
248,3,20,1,A,1,1,1,4,4,4,3,1,1,1,2,2,3,2,2,1,1,healthy,0,0,0,0,0,square,0
248,4,20,1,A,1,3,4,3,3,4,4,3,4,7,3,4,2,3,3,4,5,fair,0,1,1,0,0,long,0
248,5,20,1,A,1,3,2,2,2,2,3,3,4,6,3,2,4,4,3,2,4,fair,0,0,1,0,0,round,1
248,6,20,1,A,1,2,3,2,2,3,2,3,3,4,2,2,3,2,3,2,3,healthy,0,0,0,0,0,long,1
249,7,23,0,3,1,2,1,3,3,2,2,3,3,5,3,3,2,3,3,3,2,healthy,1,1,1,1,1,square,0
249,8,23,0,3,1,2,3,3,3,3,3,3,3,6,3,3,3,3,3,3,4,healthy,0,0,1,0,0,square,0
249,9,23,0,3,1,2,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,black,1,0,0,1,1,square,1
249,10,23,0,3,1,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,fair,0,0,1,0,0,round,1
249,11,23,0,3,1,3,4,4,3,3,3,3,3,5,3,3,3,3,3,3,3,healthy,0,0,1,0,1,round,1
