id,pca1,pca2,k_means
1,0.028046852893932855,0.006837712420393037,1
2,-0.26073301236260144,-0.07608858733769837,1
3,-0.058756365790535156,0.0960610809265045,1
4,0.6582768805052559,-0.1989540795357754,0
5,0.25477898654701775,0.45261198011622866,1
6,0.2481295563155081,0.010982521642385994,0
7,-0.4968470890415357,0.11492927246524948,1
8,-0.09351405516381864,0.12439193430109466,1
9,0.014106916658373131,0.24525387654162556,1
10,0.5436867008862006,-0.09601480137988767,0
11,-0.3836285490547867,-0.056125429634762504,1
12,-0.2164542996323459,0.10270976074408669,1
13,-0.1469673189617826,-0.09366689145594173,1
14,0.2844673958661325,-0.015892550582595658,0
15,0.054785522391820295,0.21573223430868588,1
16,-0.40880846811212607,-0.16429861161906503,1
17,-0.23030750380901852,-0.0011303343625586146,1
18,0.7993833733376126,-0.3570003511472326,0
19,0.0781648394081945,0.42998939989214335,1
20,0.15481009383882058,-0.19666204320390052,0
21,-0.06036637087552765,0.27994440695095546,1
22,0.2856824979610696,-0.2704826012726411,0
23,-0.16973572974887763,0.32513785411891405,1
24,0.27388392084257746,-0.29361915565245755,0
25,0.295065558156223,-0.40129084452407615,0
26,-0.24093161596247173,-0.07494059614565854,1
27,-0.07047756338799993,0.2811213137942121,1
28,-0.412987749342391,-0.26128374090866135,1
29,-0.2586221964106918,0.0572679888748595,1
30,0.12392266387696568,-0.28266789943617315,0
31,-0.17672934197935528,0.010150708388280102,1
32,-0.3822058178033543,-0.21985119631565822,1
33,0.06475698090566867,0.1708522314868571,1
34,-0.21487985042593863,-0.07903132486157596,1
35,-0.08049605476140646,0.032095145181800545,1
36,0.9905207624294812,-0.4197636205387826,0
37,-0.3232372492931982,-0.10192046579009983,1
38,-0.14233738084832592,0.1177093337506232,1
39,-0.08157963071662079,0.36687757066171695,1
40,-0.2324475436102215,-0.005636328660588861,1
41,0.3626451294563706,0.02365254463242645,0
42,-0.21483987845858288,0.17609131659055208,1
43,0.05862047476816716,0.2696018946721435,1
44,-0.1542846840201508,0.27132987839290207,1
45,-0.2321313588153263,0.17112143248244152,1
46,0.10624382143376244,-0.11196184779569526,1
47,-0.022877271854145627,0.19220250497553187,1
48,-0.031438112407457135,0.14918013614898998,1
49,0.18586801850369833,0.1974309559179806,1
50,-0.02448601550358484,0.3477266810867575,1
51,-0.039124175582950005,0.2136465929120724,1
52,-0.1884024535530635,0.32386777734203226,1
53,-0.21868009225058085,-0.047928037353885934,1
54,0.4020035049284632,0.5139874078381654,0
55,0.01916892649980269,0.0018777306326960782,1
56,-0.3330928505826926,-0.10024353599851586,1
57,-0.4065370050753562,-0.11002669936952139,1
58,-0.16563408615601455,-0.08402294286438633,1
59,0.5494034587099498,0.31560692272748725,0
60,0.28943797211541233,0.15533545894528997,0
61,0.31486278697894765,0.297448045092567,0
62,0.08642000666413961,-0.04723590460985282,1
63,-0.040135284029781615,0.05965447046220851,1
64,0.4290753654903053,-0.22203904487420736,0
65,0.19475657051046255,-0.030912441536430968,0
66,-0.06093028245947007,0.3967812422245349,1
67,-0.28042453156302605,-0.2178108413692784,1
68,0.23913745854374488,0.17542896362206792,1
69,-0.21420617555938862,-0.0022313415480552457,1
70,0.595852638649923,-0.06025552632788326,0
71,0.7649783359365455,-0.15111559302938435,0
72,-0.143193236401819,-0.7410457145308793,1
73,-0.3574326239181625,0.00036132013882248843,1
74,0.22081698321348847,-0.5243935610833402,0
75,0.2045510880425332,-0.0527967687795659,0
76,-0.22905151919989072,-0.06740806010548135,1
77,0.09335056352177011,0.352390047630153,1
78,-0.6142300806450673,-0.38744017140861997,1
79,-0.1806765596788157,-0.12818998126133893,1
80,0.014791837676350363,0.21319706884605863,1
81,0.08828386777509045,0.17691179003350951,1
82,0.04156871284459428,0.035864638979658484,1
83,-0.09384345894276175,0.02004770507630217,1
84,-0.2065196208774928,-0.01106401379637745,1
85,-0.14288813383888113,0.4258873454946069,1
86,0.20810493913559316,0.3452659947849948,1
87,0.03360897899493828,-0.020583020686250432,1
88,-0.22758565026961391,-0.14540635763702464,1
89,-0.2745016536407979,-0.16534638458613748,1
90,-0.07152891342802148,-0.19392496216664815,1
91,-0.16292922194938905,-0.015187346646782115,1
92,0.014150101536639892,0.06693912143542839,1
93,-0.4156719955075875,0.150463013660386,1
94,-0.13646607088920218,0.37280563850717774,1
95,0.656384758397627,0.03643710528198109,0
96,0.5799294366752118,-0.3001614044853202,0
97,-0.18126172681146838,-0.2649967262258087,1
98,0.10739759209181629,-0.3322877646682602,0
99,0.15068087361511995,0.4828909358811312,1
100,-0.027127129193835222,-0.3323607946788857,1
101,-0.30441193406759526,0.13949049686498183,1
102,0.13111242871159423,-0.3900508597769286,0
103,0.19122410787715366,-0.1800254773466528,0
104,-0.7020366155262379,-0.39688493556624016,1
105,-0.14192401878845598,-0.09989948139872235,1
106,0.16078429484200568,0.13721637162220662,1
107,-0.22700679691552592,-0.524062046118907,1
108,-0.35111480445042476,-0.33920337865669375,1
109,-0.03770156417116901,0.20074363672678414,1
110,0.2545607601047711,-0.21490731709409513,0
111,-0.416698696845156,0.09043674228384521,1
112,-0.3149332857990305,-0.37713436477703516,1
113,0.03782456038590864,0.17608807123550366,1
114,-0.3138869103644788,0.02870142395874901,1
115,-0.39529414393083145,0.10504701113106295,1
116,0.46923380745187837,-0.1437892910360044,0
117,0.18517158869334213,0.2890367951988281,1
118,-0.48697767138123554,-0.05768558115470453,1
119,-0.318074641341408,-0.16628696404717094,1
120,0.05148458077550704,0.4114645584841995,1
121,-0.26938191437654013,-0.0352775147343989,1
122,-0.0057676180533726955,0.09196056866209734,1
123,-0.11042659411413612,0.14459565328353635,1
124,0.4505266079046829,-0.36182859311834764,0
125,0.9603268553809668,-0.08687301864686733,0
126,0.6258515671968914,-0.3745233022052865,0
127,0.09678498277379646,-0.41996920594823833,0
128,-0.14564324029413145,-0.3408483777646721,1
129,-0.06317843720171494,0.030232123410326054,1
130,-0.17199474517032634,0.033141620869996946,1
131,-0.02189339230701796,0.19007555212760927,1
132,-0.017032950513703196,-0.6508594568753541,0
133,0.3723109554927877,0.32128627879253013,0
134,0.20641521205968222,-0.20552277707017214,0
135,-0.2460056296688764,-0.28797706873830775,1
136,-0.3082059363357085,0.0474080284652715,1
137,-0.27278679578006393,-0.03830658220193375,1
138,-0.4089305357064847,0.050199068612208256,1
139,0.2754783565636383,0.6949683591760998,1
140,0.0072769110261018104,0.020018620084040924,1
141,-0.02914980372947009,0.13980541876741037,1
142,-0.28802972158649226,0.3148463504064596,1
143,0.22331130141395342,0.5275177243954187,1
144,-0.11489507950794187,0.34724886453851295,1
145,-0.11213861367910943,-0.3868739239074248,1
146,-0.2597989423085061,-0.12814681497730662,1
147,-0.2373690742635508,0.03416492118699959,1
148,-0.04243799395773374,0.271847300109791,1
149,-0.15804576623437513,-0.15982736594694213,1
150,-0.28567955115710664,-0.10267902900035451,1
